timestamp,open,high,low,close
2001-05-03,63.27,63.86,62.63,63.06
2001-05-04,63.02,63.45,62.08,62.95
2001-05-05,63.08,63.18,62.93,63.13
2001-05-06,62.93,63.02,62.91,62.97
2001-05-07,62.86,63.29,62.63,62.93
2001-05-08,62.9,63.65,62.34,62.61
2001-05-09,62.45,64.18,62.38,63.99
2001-05-10,64.09,64.66,63.79,64.26
2001-05-11,64.09,64.5,63.25,64.01
2001-05-13,64.26,64.31,63.91,63.97
2001-05-14,63.88,64.37,63.16,64.04
2001-05-15,64.13,64.47,63.5,64.34
2001-05-16,64.31,64.97,63.95,64.69
2001-05-17,64.69,65.45,64.01,64.73
2001-05-18,64.63,65.58,64.23,65.5
2001-05-19,65.58,65.58,65.01,65.02
2001-05-20,65.55,65.55,65.16,65.23
2001-05-21,65.55,65.84,64.52,64.72
2001-05-22,64.69,65.08,63.97,64.44
2001-05-23,64.41,64.5,61.68,62.02
2001-05-24,62.13,62.65,60.52,62.33
2001-05-25,62.41,63.09,62.06,62.84
2001-05-26,62.65,62.65,62.52,62.56
2001-05-28,62.75,63.22,62.41,63.02
2001-05-29,62.93,63.24,61.75,62.09
2001-05-30,62.93,64.48,61.34,61.68
2001-05-31,61.79,61.93,59.63,60.38
2001-06-01,60.27,60.88,59.61,60.56
2001-06-02,60.65,60.75,60.33,60.68
2001-06-04,60.63,61.27,60.15,60.56
2001-06-05,60.59,61.38,60.02,61.22
2001-06-06,61.33,62.49,61.15,62.16
2001-06-07,62.13,62.63,61.47,62.25
2001-06-08,62.29,63.66,62.13,63.66
2001-06-09,63.56,63.63,63.45,63.61
2001-06-11,62.93,64.37,62.9,63.81
2001-06-12,63.74,64.18,63.27,63.88
2001-06-13,63.79,64.91,63.65,64.66
2001-06-14,63.86,64.7,63.72,64.58
2001-06-15,64.66,64.66,63.68,63.88
2001-06-18,64.37,64.76,63.9,64.48
2001-06-19,64.48,65.11,64.22,64.54
2001-06-20,64.5,64.62,63.9,63.99
2001-06-21,63.97,64.25,63.41,64.22
2001-06-22,64.26,64.63,64.05,64.61
2001-06-25,64.26,64.44,63.81,64.01
2001-06-26,64.2,64.45,63.88,64.01
2001-06-27,64.01,64.76,63.9,64.7
2001-06-28,64.7,64.93,64.13,64.59
2001-06-29,64.55,64.73,63.06,63.15
2001-07-02,63.52,63.79,63.13,63.45
2001-07-03,63.7,63.83,63.22,63.54
2001-07-04,63.54,64.56,63.18,64.55
2001-07-05,64.55,65.19,64.23,64.44
2001-07-06,64.44,65.02,64.44,64.75
2001-07-09,63.86,64.0,63.33,63.97
2001-07-10,64.16,64.16,63.38,63.99
2001-07-11,63.65,63.65,62.66,62.81
2001-07-12,63.95,64.3,62.77,62.86
2001-07-13,62.86,63.04,62.25,62.34
2001-07-16,63.63,64.04,63.38,63.7
2001-07-17,63.43,64.08,63.43,63.77
2001-07-18,63.7,63.81,63.18,63.74
2001-07-19,63.74,64.13,63.58,63.68
2001-07-20,63.77,64.12,63.27,63.47
2001-07-23,62.25,63.22,62.08,63.16
2001-07-24,62.2,63.27,62.2,63.27
2001-07-25,63.27,63.38,62.84,62.9
2001-07-26,62.9,63.31,62.61,62.7
2001-07-27,62.7,63.16,62.65,62.91
2001-07-30,63.18,63.34,63.13,63.31
2001-07-31,62.75,63.41,62.56,63.27
2001-08-01,63.27,63.61,62.81,63.61
2001-08-02,63.61,64.77,63.43,64.77
2001-08-03,64.77,64.77,63.7,64.37
2001-08-06,64.02,64.15,63.99,64.08
2001-08-07,64.02,64.26,63.79,64.11
2001-08-08,64.11,64.13,63.61,63.68
2001-08-09,63.68,63.93,63.29,63.9
2001-08-10,63.9,64.19,61.97,62.5
2001-08-13,63.38,63.43,63.2,63.31
2001-08-14,62.59,63.52,62.56,63.5
2001-08-15,63.5,63.63,62.72,63.56
2001-08-16,63.56,63.72,62.81,63.27
2001-08-17,63.27,63.72,62.84,63.02
2001-08-20,64.51,64.65,64.05,64.26
2001-08-21,64.41,64.62,64.05,64.3
2001-08-22,64.3,64.8,63.38,63.65
2001-08-23,63.65,64.54,63.65,64.18
2001-08-24,64.18,64.62,63.74,63.86
2001-08-27,64.08,64.18,63.22,63.31
2001-08-28,64.16,64.16,63.25,63.45
2001-08-29,63.45,63.86,63.04,63.65
2001-08-30,63.65,64.0,62.77,63.65
2001-08-31,63.65,63.81,63.31,63.58
2001-09-03,63.61,63.61,62.41,62.52
2001-09-04,62.88,62.95,62.41,62.68
2001-09-05,62.68,62.77,61.9,62.04
2001-09-06,62.04,62.93,61.84,62.81
2001-09-07,62.81,63.36,62.58,63.22
2001-09-10,62.38,62.52,62.36,62.4
2001-09-11,62.4,62.47,61.49,62.2
2001-09-12,62.2,62.77,61.68,62.22
2001-09-13,62.22,62.34,61.34,61.61
2001-09-14,61.61,61.9,61.09,61.16
2001-09-17,60.45,60.45,60.36,60.36
2001-09-18,60.36,60.77,58.34,59.15
2001-09-19,59.15,59.22,57.93,58.08
2001-09-20,58.08,58.54,57.5,57.86
2001-09-21,57.86,58.18,57.04,57.34
2001-09-24,57.34,57.77,56.02,56.5
2001-09-25,56.5,57.95,56.18,57.77
2001-09-26,57.77,58.27,57.59,58.02
2001-09-27,58.02,58.65,57.65,57.77
2001-09-28,57.77,58.43,57.31,58.27
2001-10-01,58.34,59.31,57.9,58.9
2001-10-02,58.9,59.75,58.68,59.56
2001-10-03,59.56,59.99,59.34,59.84
2001-10-04,59.84,60.61,59.56,60.11
2001-10-05,60.11,60.36,59.72,60.02
2001-10-08,60.02,61.15,59.93,61.08
2001-10-09,61.08,61.31,60.52,60.81
2001-10-10,60.81,60.93,60.0,60.2
2001-10-11,60.2,60.56,60.04,60.4
2001-10-12,60.4,60.86,59.86,60.84
2001-10-15,60.84,61.38,60.38,61.34
2001-10-16,61.34,62.56,61.27,62.38
2001-10-17,62.38,62.56,61.84,62.11
2001-10-18,62.11,62.77,61.88,62.29
2001-10-19,62.31,62.31,61.36,61.4
2001-10-22,61.4,61.93,61.15,61.66
2001-10-23,61.66,62.5,61.63,62.43
2001-10-24,62.43,62.61,62.24,62.27
2001-10-25,62.27,62.58,61.99,62.41
2001-10-26,62.41,62.66,61.79,61.93
2001-10-29,62.0,62.0,61.41,61.59
2001-10-30,61.59,61.97,61.2,61.63
2001-10-31,61.63,62.02,61.45,61.52
2001-11-01,61.52,61.83,61.38,61.59
2001-11-02,61.59,62.5,61.52,62.09
2001-11-05,62.09,62.27,61.52,62.18
2001-11-06,62.18,62.18,61.65,61.93
2001-11-07,61.93,62.36,61.84,62.25
2001-11-08,62.25,62.52,62.0,62.34
2001-11-09,62.34,62.68,61.7,61.86
2001-11-12,61.86,62.74,61.45,62.54
2001-11-13,62.54,62.95,62.06,62.52
2001-11-14,62.52,63.43,62.5,63.33
2001-11-15,63.29,63.84,63.06,63.16
2001-11-16,63.16,63.77,62.99,63.5
2001-11-19,63.5,64.4,63.16,64.16
2001-11-20,64.16,64.5,63.93,64.33
2001-11-21,64.33,64.44,63.59,63.77
2001-11-22,63.77,63.88,63.47,63.59
2001-11-23,63.59,64.2,63.36,64.12
2001-11-26,64.12,64.58,63.95,64.41
2001-11-27,64.41,64.61,64.09,64.38
2001-11-28,64.38,64.94,64.16,64.75
2001-11-29,64.75,64.91,64.02,64.19
2001-11-30,64.19,64.26,63.72,64.08
2001-12-03,64.08,64.58,63.93,64.4
2001-12-04,64.4,64.56,64.05,64.2
2001-12-05,64.2,64.34,63.56,64.04
2001-12-06,64.04,64.37,63.7,64.37
2001-12-07,64.37,64.81,64.05,64.81
2001-12-10,64.81,64.98,64.48,64.62
2001-12-11,64.62,65.12,64.5,65.08
2001-12-12,65.08,65.15,64.7,65.0
2001-12-13,65.0,65.9,64.86,65.77
2001-12-14,65.77,65.91,65.36,65.52
2001-12-17,65.52,66.4,65.33,66.15
2001-12-18,66.15,66.44,65.97,66.0
2001-12-19,66.0,66.58,65.69,65.91
2001-12-20,65.91,66.19,65.45,65.48
2001-12-21,65.48,65.8,64.81,65.0
2001-12-24,65.02,66.13,64.93,66.13
2001-12-25,66.13,66.23,65.66,65.95
2001-12-26,65.95,66.51,65.95,66.45
2001-12-27,66.45,66.62,66.2,66.55
2001-12-28,66.55,67.0,66.26,66.8
2001-12-31,66.8,67.26,66.29,66.94
2002-01-02,67.23,68.18,67.02,68.08
2002-01-03,67.23,68.19,67.02,67.75
2002-01-04,68.13,68.4,67.59,67.84
2002-01-07,67.84,68.26,67.38,68.26
2002-01-08,68.26,68.26,67.72,68.06
2002-01-09,68.04,69.58,67.83,69.55
2002-01-10,69.55,69.95,69.11,69.62
2002-01-11,69.62,69.87,69.22,69.38
2002-01-14,69.38,69.41,68.62,68.76
2002-01-15,68.76,68.76,68.12,68.25
2002-01-16,68.25,68.55,67.76,68.02
2002-01-17,68.02,68.12,67.5,68.04
2002-01-18,68.04,68.19,67.54,68.04
2002-01-21,68.04,68.56,68.02,68.26
2002-01-22,68.26,68.83,67.91,68.58
2002-01-23,69.56,70.01,69.45,69.62
2002-01-24,69.62,70.01,69.3,70.01
2002-01-25,70.01,70.19,69.11,69.45
2002-01-28,69.45,69.7,68.63,68.88
2002-01-29,68.88,68.98,68.02,68.19
2002-01-30,68.19,68.22,66.98,67.16
2002-01-31,67.16,68.26,67.12,68.13
2002-02-01,68.13,68.58,67.52,67.76
2002-02-04,67.76,68.18,67.41,67.56
2002-02-05,67.56,68.38,67.37,68.22
2002-02-06,68.22,68.43,67.68,67.91
2002-02-07,67.91,68.3,67.55,67.8
2002-02-08,68.04,68.93,67.94,68.69
2002-02-11,68.73,69.19,68.31,68.48
2002-02-12,68.25,68.44,67.31,67.45
2002-02-13,67.43,67.93,67.05,67.84
2002-02-14,67.84,68.52,67.55,68.48
2002-02-15,68.25,68.91,67.98,68.66
2002-02-18,68.66,68.84,68.51,68.77
2002-02-19,68.77,69.33,68.62,69.16
2002-02-20,69.16,69.4,68.91,69.31
2002-02-21,69.31,69.52,68.76,69.38
2002-02-22,69.38,69.44,68.48,68.81
2002-02-25,68.81,68.98,68.54,68.72
2002-02-26,68.72,69.3,68.69,69.11
2002-02-27,69.11,69.48,68.8,69.33
2002-02-28,69.33,69.51,68.91,69.01
2002-03-01,69.01,69.41,68.87,69.3
2002-03-04,69.3,69.62,68.66,68.8
2002-03-05,68.8,69.08,68.34,68.81
2002-03-06,68.81,68.86,68.09,68.44
2002-03-07,68.44,68.58,66.55,66.86
2002-03-08,66.86,67.37,66.63,67.18
2002-03-11,67.26,67.34,66.55,66.9
2002-03-12,66.9,67.23,66.75,67.04
2002-03-13,66.95,67.48,66.94,67.37
2002-03-14,67.37,67.52,66.87,67.43
2002-03-15,67.43,67.98,67.37,67.84
2002-03-18,67.86,69.12,67.75,69.01
2002-03-19,69.01,69.3,68.51,69.23
2002-03-20,69.23,69.94,69.0,69.8
2002-03-21,69.8,70.41,69.43,70.02
2002-03-22,70.02,70.84,69.83,70.55
2002-03-25,70.51,70.95,70.31,70.75
2002-03-26,70.75,70.75,69.76,70.19
2002-03-27,70.19,70.33,69.83,69.91
2002-03-28,69.91,70.83,69.91,70.77
2002-03-29,70.77,71.05,70.55,70.8
2002-04-01,70.77,71.55,70.77,71.19
2002-04-02,71.19,71.48,70.87,71.41
2002-04-03,71.41,71.44,70.13,70.62
2002-04-04,70.62,70.8,69.97,70.08
2002-04-05,70.08,70.44,69.73,69.79
2002-04-08,69.87,69.87,69.01,69.27
2002-04-09,69.27,69.76,69.08,69.13
2002-04-10,69.13,69.56,69.04,69.34
2002-04-11,69.34,70.5,69.2,70.33
2002-04-12,70.33,70.94,70.13,70.59
2002-04-15,70.5,70.5,69.83,70.22
2002-04-16,70.19,70.27,69.59,69.9
2002-04-17,69.9,70.38,69.87,70.31
2002-04-18,70.31,70.41,69.73,69.87
2002-04-19,69.95,70.48,69.95,70.37
2002-04-22,70.41,70.65,69.9,70.29
