timestamp,open,high,low,close
2001-04-17,1.5223,1.5282,1.5191,1.527
2001-04-18,1.527,1.5362,1.5239,1.5305
2001-04-19,1.5311,1.5347,1.5269,1.5283
2001-04-20,1.5283,1.5332,1.5262,1.529
2001-04-23,1.5283,1.532,1.5262,1.5295
2001-04-24,1.5305,1.5341,1.5248,1.5327
2001-04-25,1.532,1.5348,1.5281,1.531
2001-04-26,1.5312,1.5383,1.5298,1.5383
2001-04-27,1.5384,1.5399,1.5342,1.5385
2001-04-30,1.5361,1.5405,1.5342,1.5388
2001-05-01,1.5389,1.5428,1.5357,1.5417
2001-05-02,1.5417,1.5455,1.5385,1.5428
2001-05-03,1.5429,1.547,1.5391,1.542
2001-05-04,1.542,1.547,1.5398,1.5443
2001-05-07,1.5442,1.5463,1.5398,1.542
2001-05-08,1.5419,1.5434,1.5391,1.541
2001-05-09,1.5407,1.5434,1.5368,1.5417
2001-05-10,1.5413,1.5429,1.5347,1.5361
2001-05-11,1.5363,1.5384,1.5317,1.5326
2001-05-14,1.5328,1.5341,1.5298,1.532
2001-05-15,1.5313,1.5339,1.529,1.5321
2001-05-16,1.531,1.5348,1.529,1.532
2001-05-17,1.5321,1.5356,1.5302,1.5348
2001-05-18,1.5348,1.5361,1.5319,1.534
2001-05-21,1.5331,1.5355,1.5289,1.5319
2001-05-22,1.5319,1.5347,1.527,1.5285
2001-05-23,1.529,1.5305,1.522,1.524
2001-05-24,1.524,1.5275,1.5197,1.5234
2001-05-25,1.5233,1.5282,1.5219,1.5263
2001-05-28,1.5254,1.5298,1.5247,1.5283
2001-05-29,1.5282,1.529,1.5227,1.5234
2001-05-30,1.5232,1.5269,1.5211,1.5235
2001-05-31,1.5238,1.5247,1.5183,1.5197
2001-06-01,1.5197,1.5219,1.5177,1.5202
2001-06-04,1.5209,1.5233,1.5161,1.517
2001-06-05,1.5174,1.519,1.5119,1.5168
2001-06-06,1.5167,1.521,1.5147,1.519
2001-06-07,1.5188,1.5255,1.518,1.5247
2001-06-08,1.5246,1.5255,1.5199,1.5248
2001-06-11,1.5249,1.5255,1.5168,1.521
2001-06-12,1.5211,1.524,1.5181,1.5233
2001-06-13,1.5233,1.5291,1.5226,1.527
2001-06-14,1.5273,1.5298,1.5233,1.5282
2001-06-15,1.5267,1.5325,1.523,1.5319
2001-06-18,1.5326,1.5348,1.5269,1.5292
2001-06-19,1.5298,1.5317,1.526,1.5289
2001-06-20,1.5275,1.5291,1.522,1.5255
2001-06-21,1.5253,1.5273,1.5183,1.5194
2001-06-22,1.5196,1.521,1.5146,1.5195
2001-06-25,1.5184,1.5212,1.5168,1.5202
2001-06-26,1.5199,1.5246,1.5183,1.523
2001-06-27,1.5231,1.5253,1.5183,1.5213
2001-06-28,1.5206,1.5224,1.5166,1.5197
2001-06-29,1.5197,1.5246,1.5183,1.523
2001-07-02,1.524,1.5247,1.5182,1.5211
2001-07-03,1.5209,1.5247,1.519,1.5216
2001-07-04,1.5217,1.5266,1.5175,1.5226
2001-07-05,1.5226,1.5255,1.5173,1.5211
2001-07-06,1.5213,1.5267,1.5169,1.5196
2001-07-09,1.5196,1.5238,1.5176,1.5226
2001-07-10,1.5231,1.5283,1.5202,1.5218
2001-07-11,1.5219,1.522,1.5144,1.5174
2001-07-12,1.5169,1.519,1.509,1.5111
2001-07-13,1.5111,1.5144,1.5076,1.5127
2001-07-16,1.5117,1.5161,1.4804,1.5125
2001-07-17,1.5123,1.514,1.5059,1.508
2001-07-18,1.5075,1.5089,1.5008,1.5032
2001-07-19,1.5024,1.5081,1.5017,1.5046
2001-07-20,1.5048,1.5084,1.5025,1.504
2001-07-23,1.5059,1.5076,1.5023,1.5059
2001-07-24,1.5058,1.5082,1.5037,1.5047
2001-07-25,1.5047,1.5104,1.5026,1.5089
2001-07-26,1.5087,1.5118,1.5077,1.5095
2001-07-27,1.5095,1.5115,1.5048,1.5096
2001-07-30,1.509,1.5118,1.5055,1.5102
2001-07-31,1.5104,1.5131,1.5082,1.5118
2001-08-01,1.5119,1.5148,1.5068,1.5096
2001-08-02,1.509,1.5117,1.5066,1.5096
2001-08-03,1.5091,1.5115,1.5051,1.5089
2001-08-06,1.5069,1.5082,1.5051,1.5072
2001-08-07,1.5067,1.5096,1.5029,1.5061
2001-08-08,1.5061,1.5082,1.5023,1.5047
2001-08-09,1.5053,1.5077,1.5025,1.5053
2001-08-10,1.5053,1.5139,1.5047,1.5127
2001-08-13,1.5126,1.5174,1.511,1.5161
2001-08-14,1.5167,1.5189,1.5134,1.5173
2001-08-15,1.5175,1.5198,1.5118,1.5177
2001-08-16,1.5187,1.5233,1.5161,1.519
2001-08-17,1.519,1.5204,1.5161,1.5191
2001-08-20,1.519,1.5216,1.5147,1.5183
2001-08-21,1.5177,1.5194,1.514,1.5168
2001-08-22,1.5168,1.5224,1.5162,1.522
2001-08-23,1.5218,1.5225,1.5168,1.5197
2001-08-24,1.5197,1.521,1.5173,1.5196
2001-08-27,1.5219,1.5233,1.5173,1.5197
2001-08-28,1.5198,1.5206,1.514,1.5161
2001-08-29,1.5162,1.519,1.5147,1.5177
2001-08-30,1.5176,1.519,1.5132,1.5147
2001-08-31,1.514,1.518,1.5137,1.5161
2001-09-03,1.5154,1.5173,1.5133,1.5154
2001-09-04,1.5154,1.5168,1.5118,1.5132
2001-09-05,1.5125,1.5146,1.5074,1.5118
2001-09-06,1.5112,1.5138,1.5082,1.5117
2001-09-10,1.5123,1.518,1.5116,1.5168
2001-09-11,1.5167,1.5174,1.4947,1.4982
2001-09-12,1.4997,1.5095,1.4951,1.5045
2001-09-13,1.5044,1.5073,1.4996,1.5023
2001-09-14,1.5031,1.5032,1.4916,1.494
2001-09-18,1.4831,1.4871,1.4758,1.48
2001-09-19,1.4809,1.4847,1.4746,1.4752
2001-09-21,1.4715,1.4721,1.4384,1.4414
2001-09-25,1.4642,1.4686,1.4559,1.468
2001-09-26,1.467,1.48,1.4634,1.4763
2001-09-27,1.4759,1.4832,1.4716,1.4807
2001-09-28,1.4811,1.4838,1.4694,1.4742
2001-10-01,1.4768,1.4846,1.4757,1.4824
2001-10-03,1.486,1.4894,1.4795,1.4842
2001-10-04,1.4835,1.4893,1.4809,1.4852
2001-10-05,1.4859,1.4924,1.4822,1.4835
2001-10-08,1.4842,1.4852,1.4739,1.4808
2001-10-09,1.4802,1.4839,1.4767,1.4836
2001-10-10,1.4831,1.4858,1.4802,1.4828
2001-10-11,1.4831,1.4874,1.4811,1.4852
2001-10-12,1.4851,1.4857,1.4782,1.4808
2001-10-15,1.4809,1.4829,1.4766,1.478
2001-10-16,1.478,1.4859,1.4752,1.4835
2001-10-17,1.4842,1.4852,1.4793,1.4802
2001-10-18,1.4803,1.4816,1.4758,1.4779
2001-10-19,1.478,1.4796,1.4723,1.4767
2001-10-22,1.476,1.4811,1.4742,1.4785
2001-10-23,1.4794,1.4822,1.4766,1.4787
2001-10-24,1.4782,1.4825,1.4758,1.4803
2001-10-25,1.4803,1.4815,1.4744,1.4757
2001-10-26,1.4757,1.4768,1.4715,1.4742
2001-10-29,1.4737,1.4766,1.4702,1.473
2001-10-30,1.4735,1.4746,1.4673,1.4692
2001-10-31,1.4694,1.4717,1.4665,1.4701
2001-11-01,1.4702,1.4749,1.4689,1.4723
2001-11-02,1.4722,1.4752,1.4694,1.4723
