timestamp,open,high,low,close
2001-05-17,2.742,2.742,2.6947,2.7135
2001-05-18,2.7116,2.7286,2.7039,2.7156
2001-05-21,2.713,2.7372,2.7023,2.7286
2001-05-22,2.713,2.739,2.7121,2.7256
2001-05-23,2.73,2.7883,2.7251,2.7462
2001-05-24,2.73,2.8185,2.6965,2.6991
2001-05-25,2.73,2.7379,2.6953,2.7309
2001-05-26,2.7427,2.7441,2.7404,2.7439
2001-05-28,2.73,2.7323,2.7184,2.7293
2001-05-29,2.7167,2.7534,2.7167,2.7506
2001-05-30,2.7167,2.7848,2.7167,2.7776
2001-05-31,2.7167,2.8175,2.7167,2.7969
2001-06-01,2.7167,2.8041,2.7167,2.7906
2001-06-04,2.7167,2.7973,2.7167,2.7834
2001-06-05,2.8013,2.8013,2.7597,2.7704
2001-06-06,2.7367,2.7434,2.6893,2.6967
2001-06-07,2.6663,2.6884,2.6603,2.6784
2001-06-08,2.641,2.6465,2.6184,2.6184
2001-06-11,2.6333,2.65,2.6201,2.6236
2001-06-12,2.6315,2.6449,2.6138,2.6154
2001-06-13,2.6228,2.6266,2.6196,2.625
2001-06-14,2.6164,2.6386,2.5952,2.6268
2001-06-15,2.6289,2.6705,2.627,2.6633
2001-06-18,2.6758,2.6965,2.6591,2.6775
2001-06-19,2.6775,2.687,2.6603,2.686
2001-06-20,2.6888,2.6947,2.6684,2.6933
2001-06-21,2.6909,2.7086,2.6821,2.6916
2001-06-22,2.69,2.7404,2.6796,2.7295
2001-06-25,2.7276,2.743,2.7237,2.73
2001-06-26,2.7393,2.7446,2.7258,2.733
2001-06-27,2.7337,2.7386,2.7051,2.709
2001-06-28,2.709,2.7451,2.709,2.7302
2001-06-29,2.7297,2.7846,2.7204,2.7809
2001-07-02,2.7685,2.786,2.7655,2.7674
2001-07-03,2.7702,2.7871,2.7671,2.7722
2001-07-04,2.7722,2.7781,2.7105,2.7109
2001-07-05,2.7109,2.7251,2.6916,2.7184
2001-07-06,2.7184,2.7269,2.7065,2.72
2001-07-09,2.7762,2.7908,2.7532,2.7565
2001-07-10,2.7678,2.7913,2.7555,2.7592
2001-07-11,2.7676,2.799,2.7646,2.7829
2001-07-12,2.7662,2.8001,2.7565,2.786
2001-07-13,2.7848,2.8057,2.7708,2.7943
2001-07-16,2.752,2.7599,2.7348,2.7527
2001-07-17,2.766,2.766,2.739,2.7537
2001-07-18,2.759,2.7753,2.7472,2.7472
2001-07-19,2.7472,2.7625,2.7416,2.7572
2001-07-20,2.7539,2.7813,2.7323,2.7764
2001-07-23,2.7932,2.796,2.7911,2.792
2001-07-24,2.8231,2.8231,2.7901,2.7904
2001-07-25,2.7904,2.8057,2.7864,2.8057
2001-07-26,2.8046,2.8224,2.7881,2.8152
2001-07-27,2.8152,2.818,2.792,2.8087
2001-07-30,2.8208,2.8208,2.8138,2.8155
2001-07-31,2.8027,2.8252,2.8024,2.8203
2001-08-01,2.8203,2.8364,2.7999,2.8029
2001-08-02,2.8029,2.8052,2.759,2.7602
2001-08-03,2.7602,2.7774,2.7448,2.7527
2001-08-06,2.743,2.7434,2.7353,2.7386
2001-08-07,2.7562,2.765,2.7388,2.7427
2001-08-08,2.7427,2.7523,2.7365,2.7478
2001-08-09,2.7478,2.7525,2.7242,2.7263
2001-08-10,2.7263,2.8022,2.7242,2.7802
2001-08-13,2.7446,2.7486,2.7369,2.7423
2001-08-14,2.7743,2.775,2.7386,2.7418
2001-08-15,2.7418,2.7567,2.7372,2.7372
2001-08-16,2.736,2.7427,2.7183,2.7221
2001-08-17,2.7232,2.7565,2.716,2.7502
2001-08-20,2.6925,2.7156,2.6907,2.7084
2001-08-21,2.7012,2.7184,2.6935,2.7107
2001-08-22,2.7107,2.7365,2.6919,2.7269
2001-08-23,2.7269,2.7269,2.6988,2.7195
2001-08-24,2.7195,2.7235,2.7023,2.7137
2001-08-27,2.7053,2.7351,2.7023,2.7295
2001-08-28,2.6993,2.7369,2.6993,2.7311
2001-08-29,2.7311,2.7462,2.7255,2.7381
2001-08-30,2.7381,2.7548,2.719,2.7421
2001-08-31,2.7421,2.749,2.7256,2.7383
2001-09-03,2.7414,2.7664,2.7411,2.7571
2001-09-04,2.7462,2.7678,2.7462,2.7576
2001-09-05,2.7576,2.7811,2.7546,2.7769
2001-09-06,2.7769,2.802,2.7541,2.8015
2001-09-07,2.8015,2.8113,2.7755,2.7862
2001-09-10,2.8113,2.8138,2.8055,2.8138
2001-09-11,2.8138,2.865,2.8118,2.8345
2001-09-12,2.8345,2.8508,2.8073,2.8231
2001-09-13,2.8231,2.8715,2.8231,2.8477
2001-09-14,2.8477,2.8629,2.8338,2.8545
2001-09-17,2.8578,2.8578,2.8554,2.8573
2001-09-18,2.8573,2.9553,2.8494,2.9151
2001-09-19,2.9151,2.9763,2.9142,2.9653
2001-09-20,2.9653,2.9904,2.9486,2.9853
2001-09-21,2.9853,2.9911,2.9574,2.9642
2001-09-24,2.9642,3.0267,2.9639,3.0069
2001-09-25,3.0069,3.0181,2.9584,2.976
2001-09-26,2.976,2.9865,2.9584,2.9783
2001-09-27,2.9783,3.0174,2.9584,3.009
2001-09-28,3.009,3.0388,3.0011,3.0255
2001-10-01,3.0216,3.0385,2.9553,2.9895
2001-10-02,2.9895,3.0127,2.9788,2.983
2001-10-03,2.983,3.0067,2.9509,2.9665
2001-10-04,2.9665,2.9746,2.9449,2.9632
2001-10-05,2.9632,2.9832,2.9398,2.9679
2001-10-08,2.9679,2.9704,2.91,2.9277
2001-10-09,2.9277,2.9337,2.8989,2.9051
2001-10-10,2.9051,2.9286,2.8954,2.9151
2001-10-11,2.9151,2.9205,2.8822,2.8903
2001-10-12,2.8903,2.917,2.8801,2.8814
2001-10-15,2.8826,2.9065,2.8661,2.8684
2001-10-16,2.8684,2.8684,2.8036,2.808
2001-10-17,2.808,2.8285,2.8048,2.8276
2001-10-18,2.8276,2.8399,2.8062,2.8157
2001-10-19,2.8157,2.8573,2.8157,2.851
2001-10-22,2.851,2.8601,2.8059,2.8169
2001-10-23,2.8169,2.8248,2.7906,2.7934
2001-10-24,2.7934,2.809,2.7881,2.8076
2001-10-25,2.8087,2.8248,2.7962,2.8117
2001-10-26,2.8117,2.844,2.8024,2.8359
