timestamp,open,high,low,close
2001-05-04,2.4855,2.4889,2.4745,2.4828
2001-05-07,2.4861,2.4938,2.4822,2.49
2001-05-08,2.49,2.4972,2.4851,2.4855
2001-05-09,2.4858,2.4919,2.4707,2.4756
2001-05-10,2.4754,2.4813,2.4663,2.4784
2001-05-11,2.4786,2.4869,2.4746,2.4823
2001-05-14,2.4844,2.4877,2.4792,2.4854
2001-05-15,2.4852,2.4873,2.4723,2.4826
2001-05-16,2.4836,2.4895,2.469,2.478
2001-05-17,2.4784,2.4904,2.4716,2.486
2001-05-18,2.4868,2.5105,2.4837,2.5081
2001-05-21,2.507,2.5188,2.5048,2.5124
2001-05-22,2.514,2.5282,2.5117,2.5208
2001-05-23,2.5211,2.5366,2.5175,2.5234
2001-05-24,2.5235,2.5322,2.5017,2.5046
2001-05-25,2.504,2.5318,2.4973,2.5243
2001-05-28,2.5232,2.529,2.5198,2.5258
2001-05-29,2.5253,2.5334,2.5207,2.5309
2001-05-30,2.5307,2.5387,2.526,2.5366
2001-05-31,2.5382,2.5513,2.5341,2.5461
2001-06-01,2.5433,2.5508,2.5364,2.5411
2001-06-04,2.5453,2.5494,2.5277,2.5361
2001-06-05,2.536,2.5387,2.5084,2.5089
2001-06-06,2.5094,2.5159,2.4855,2.4925
2001-06-07,2.491,2.5023,2.4783,2.4916
2001-06-08,2.4901,2.5021,2.4692,2.473
2001-06-11,2.4763,2.4887,2.4708,2.4764
2001-06-12,2.4764,2.4793,2.4602,2.4625
2001-06-13,2.4619,2.4939,2.4498,2.4879
2001-06-14,2.4883,2.5007,2.4764,2.479
2001-06-15,2.4796,2.4993,2.4707,2.4977
2001-06-18,2.4936,2.5034,2.4872,2.4948
2001-06-19,2.4942,2.5055,2.4901,2.5035
2001-06-20,2.5038,2.5089,2.491,2.4961
2001-06-21,2.4967,2.5242,2.4872,2.5177
2001-06-22,2.519,2.5273,2.5013,2.504
2001-06-25,2.505,2.5065,2.4922,2.4965
2001-06-26,2.4973,2.5049,2.4814,2.4963
2001-06-27,2.4976,2.5096,2.4937,2.5018
2001-06-28,2.5013,2.5384,2.4975,2.5349
2001-06-29,2.5353,2.5394,2.5188,2.5341
2001-07-02,2.5364,2.5517,2.5315,2.5439
2001-07-03,2.5436,2.5461,2.5212,2.5231
2001-07-04,2.5232,2.5342,2.5188,2.5304
2001-07-05,2.5316,2.5478,2.5234,2.5452
2001-07-06,2.5453,2.5547,2.5267,2.5309
2001-07-09,2.5302,2.532,2.5224,2.5279
2001-07-10,2.5281,2.529,2.5064,2.5098
2001-07-11,2.5106,2.5124,2.4824,2.4846
2001-07-12,2.4858,2.5032,2.4836,2.4908
2001-07-13,2.491,2.4949,2.4755,2.4826
2001-07-16,2.4847,2.4852,2.4669,2.4768
2001-07-17,2.4777,2.4907,2.4539,2.4563
2001-07-18,2.457,2.464,2.4382,2.4415
2001-07-19,2.4414,2.4735,2.4351,2.4659
2001-07-20,2.4662,2.4693,2.4579,2.4684
2001-07-23,2.467,2.4709,2.4561,2.4595
2001-07-24,2.4601,2.4634,2.4439,2.4479
2001-07-25,2.4486,2.4532,2.4413,2.4481
2001-07-26,2.4466,2.462,2.4435,2.4552
2001-07-27,2.4549,2.4616,2.4457,2.4518
2001-07-30,2.4491,2.4655,2.4456,2.4609
2001-07-31,2.4619,2.4667,2.455,2.4621
2001-08-01,2.4621,2.4647,2.4487,2.4572
2001-08-02,2.4557,2.4591,2.4436,2.4463
2001-08-03,2.4468,2.4516,2.4287,2.4377
2001-08-06,2.4383,2.4442,2.4228,2.425
2001-08-07,2.426,2.4364,2.4227,2.4329
2001-08-08,2.4333,2.439,2.4184,2.4206
2001-08-09,2.4202,2.4248,2.3983,2.4056
2001-08-10,2.4055,2.4158,2.4023,2.4104
2001-08-13,2.4104,2.413,2.3926,2.402
2001-08-14,2.4023,2.4051,2.3938,2.3999
2001-08-15,2.3997,2.4019,2.3882,2.3947
2001-08-16,2.3958,2.4071,2.3896,2.4026
2001-08-17,2.4041,2.4089,2.3901,2.395
2001-08-20,2.3915,2.404,2.387,2.3998
2001-08-21,2.3992,2.4117,2.3961,2.4096
2001-08-22,2.4072,2.4122,2.3967,2.4114
2001-08-23,2.4133,2.4149,2.3984,2.4028
2001-08-24,2.4014,2.4147,2.3979,2.4005
2001-08-27,2.4033,2.412,2.4023,2.4084
2001-08-28,2.4074,2.4199,2.4034,2.4143
2001-08-29,2.4135,2.4245,2.4106,2.4213
2001-08-30,2.4202,2.4285,2.4056,2.4068
2001-08-31,2.4082,2.4279,2.4043,2.4208
2001-09-03,2.4197,2.4331,2.4184,2.4291
2001-09-04,2.4292,2.4685,2.4268,2.4611
2001-09-05,2.4614,2.4868,2.4508,2.4855
2001-09-06,2.4853,2.4884,2.4559,2.4582
2001-09-07,2.4593,2.4658,2.4416,2.4418
2001-09-10,2.4673,2.4673,2.4415,2.4574
2001-09-11,2.4567,2.4628,2.4138,2.4189
2001-09-12,2.4191,2.4466,2.4185,2.4337
2001-09-13,2.4328,2.4396,2.4219,2.423
2001-09-14,2.4232,2.4299,2.3799,2.3847
2001-09-17,2.387,2.3905,2.3468,2.3499
2001-09-18,2.3555,2.3667,2.3392,2.3453
2001-09-19,2.346,2.3517,2.3274,2.3316
2001-09-20,2.3396,2.342,2.3222,2.3243
2001-09-21,2.328,2.3323,2.2853,2.3003
2001-09-24,2.2994,2.3445,2.2969,2.3371
2001-09-25,2.3387,2.3415,2.3191,2.3364
2001-09-26,2.3341,2.3671,2.3315,2.3584
2001-09-27,2.3566,2.3827,2.3537,2.3786
2001-09-28,2.3768,2.3884,2.3661,2.3851
2001-10-01,2.3876,2.4029,2.3846,2.3898
